datetime,open,high,low,close
2023-04-15 06:00:00,2005.46997,2005.68994,2003.95996,2004.26001
2023-04-15 05:00:00,2006.43005,2007.98999,2005.03003,2005.32996
2023-04-15 04:00:00,2004.04004,2006.91003,2003.35999,2006.51001
2023-04-15 03:00:00,1999.63,2004.21997,1998.68994,2003.98999
2023-04-15 02:00:00,1995.85999,1999.76001,1992.45996,1999.59998
2023-04-15 01:00:00,1998.63,2000.87,1993.87,1995.76001
2023-04-15 00:00:00,2021.82996,2022.43005,1998.18005,1998.56995
2023-04-14 23:00:00,2024.57996,2028.01001,2020.01001,2023.62
2023-04-14 22:00:00,2033.38,2040.21997,2017.68005,2024.79004
2023-04-14 21:00:00,2038.32996,2038.32996,2032.35999,2033.38
2023-04-14 20:00:00,2038.76001,2042.26001,2037.78003,2038.31995
2023-04-14 19:00:00,2035.78003,2038.76001,2034.55005,2038.65002
2023-04-14 18:00:00,2039.31006,2039.38,2031.88,2035.66003
2023-04-14 17:00:00,2041.30005,2041.41003,2036.76001,2039.31006
2023-04-14 16:00:00,2042.84998,2044.38,2040.73999,2041.39001
2023-04-14 15:00:00,2043.42004,2043.59998,2039.68005,2042.83997
2023-04-14 14:00:00,2045.14001,2046.54004,2042.56006,2043.30005
2023-04-14 13:00:00,2046.16003,2046.16003,2043.18994,2045.01001
2023-04-14 12:00:00,2045.94995,2047.45996,2044.92004,2046.18005
2023-04-14 11:00:00,2041.95996,2046.06006,2041.17004,2045.88
2023-04-14 10:00:00,2039.59998,2043.71997,2038.80005,2041.94995
2023-04-14 09:00:00,2040.18994,2040.26001,2038.81995,2039.83997
2023-04-14 08:00:00,2040.48999,2040.76001,2040.07996,2040.14001
2023-04-14 06:00:00,2040.59998,2041.09998,2039.91003,2040.10999
2023-04-14 05:00:00,2038.60999,2040.90002,2036.64001,2040.79004
2023-04-14 04:00:00,2043.78003,2043.98999,2037.59998,2038.40002
2023-04-14 03:00:00,2040.26001,2044.12,2039.28003,2043.81006
2023-04-14 02:00:00,2038.96997,2040.58997,2037.38,2040.26001
2023-04-14 01:00:00,2034.28003,2042.38,2034.28003,2038.96997
2023-04-14 00:00:00,2046.56995,2048.65991,2033.83997,2034.31995
2023-04-13 23:00:00,2045.21997,2046.92004,2039.98999,2046.62
2023-04-13 22:00:00,2028.66003,2045.83997,2026.68994,2045.09998
2023-04-13 21:00:00,2026.80005,2028.76001,2025.55005,2028.68005
2023-04-13 20:00:00,2026.73999,2028.06006,2025.12,2026.80005
2023-04-13 19:00:00,2026.63,2028.68005,2025.76001,2026.64001
2023-04-13 18:00:00,2024.56995,2029.23999,2024.46997,2026.63
2023-04-13 17:00:00,2020.70996,2025.71997,2020.66003,2024.56006
2023-04-13 16:00:00,2015.38,2023.17004,2015.38,2020.51001
2023-04-13 15:00:00,2018.53003,2019.18994,2015.43994,2015.45996
2023-04-13 14:00:00,2017.64001,2019.55005,2017.48999,2018.51001
2023-04-13 13:00:00,2017.88,2017.98999,2015.79004,2017.55005
2023-04-13 12:00:00,2017.73999,2019.43005,2016.42004,2017.96997
2023-04-13 11:00:00,2017.73999,2019.17004,2015.85999,2018.01001
2023-04-13 10:00:00,2018.18005,2019.88,2016.64001,2017.91003
2023-04-13 09:00:00,2015.26001,2018.59998,2015.23999,2018.26001
2023-04-13 08:00:00,2014.43005,2015.28003,2014.18005,2015.28003
2023-04-13 06:00:00,2013.69995,2015.20996,2013.32996,2014.98999
2023-04-13 05:00:00,2015.85999,2018.12,2013.26001,2013.90002
2023-04-13 04:00:00,2011.48999,2017.01001,2011.39001,2015.88
2023-04-13 03:00:00,2007.93005,2012.59998,2006.81995,2011.58997
2023-04-13 02:00:00,2005.76001,2009.33997,2005.32996,2007.93994
2023-04-13 01:00:00,2007.06006,2009.54004,2005.73999,2005.90002
2023-04-13 00:00:00,2007.92004,2013.18005,2003.31006,2007.01001
2023-04-12 23:00:00,2022.32996,2023.85999,2001.59998,2007.81006
2023-04-12 22:00:00,2007.80005,2028.31006,2006.32996,2022.65002
2023-04-12 21:00:00,2008.94995,2010.31995,2007.42004,2007.98999
2023-04-12 20:00:00,2010.84998,2011.59998,2007.48999,2008.68994
2023-04-12 19:00:00,2009.13,2011.68005,2008.64001,2010.89001
2023-04-12 18:00:00,2013.08997,2013.63,2009.04004,2009.14001
2023-04-12 17:00:00,2015.51001,2016.58997,2011.76001,2013.09998
2023-04-12 16:00:00,2018.26001,2018.80005,2013.58997,2015.69995
2023-04-12 15:00:00,2020.40002,2020.81006,2017.60999,2018.31006
2023-04-12 14:00:00,2017.34998,2021.16003,2017.12,2020.37
2023-04-12 13:00:00,2014.93994,2018.38,2014.23999,2017.26001
2023-04-12 12:00:00,2014.85999,2019.35999,2013.90002,2015.01001
2023-04-12 11:00:00,2005.44995,2015.16003,2004.05005,2014.95996
2023-04-12 10:00:00,2004.81006,2005.62,2004.13,2005.56995
2023-04-12 09:00:00,2003.91003,2005.17004,2003.54004,2004.80005
2023-04-12 08:00:00,2003.20996,2004.41003,2003.18994,2003.93994
2023-04-12 06:00:00,2004.19995,2004.71997,2002.93005,2003.60999
2023-04-12 05:00:00,2004.79004,2006.79004,2003.62,2004.26001
2023-04-12 04:00:00,2005.63,2005.94995,2004.05005,2004.62
2023-04-12 03:00:00,2006.21997,2006.43005,2001.14001,2005.65002
2023-04-12 02:00:00,2004.23999,2006.62,2004.05005,2006.21997
2023-04-12 01:00:00,2002.48999,2006.29004,2001.71997,2004.28003
2023-04-12 00:00:00,2001.43994,2004.70996,1999.76001,2002.48999
2023-04-11 23:00:00,1998.65002,2002.54004,1995.66003,2001.33997
2023-04-11 22:00:00,2000.53003,2002.63,1998.48999,1998.56995
2023-04-11 21:00:00,2004.51001,2004.51001,1999.44995,2000.54004
2023-04-11 20:00:00,2004.55005,2005.06006,2001.63,2004.51001
2023-04-11 19:00:00,2004.59998,2005.44995,2002.60999,2004.55005
2023-04-11 18:00:00,2002.08997,2007.48999,2001.29004,2004.63
2023-04-11 17:00:00,1999.33997,2003.76001,1997.94995,2002.16003
2023-04-11 16:00:00,1999.13,2001.87,1998.48999,1999.28003
2023-04-11 15:00:00,1999.84998,2001.56006,1998.70996,1999.12
2023-04-11 14:00:00,1997.59998,2000.10999,1997.45996,1999.82996
2023-04-11 13:00:00,1997.81006,1998.34998,1996.60999,1997.63
2023-04-11 12:00:00,1991.18005,1998.10999,1991.17004,1997.90002
2023-04-11 11:00:00,1993.23999,1993.46997,1988.81006,1991.29004
2023-04-11 10:00:00,1992.42004,1995.44995,1992.42004,1993.31006
2023-04-11 09:00:00,1991.39001,1992.63,1991.10999,1992.48999
2023-04-11 08:00:00,1991.56006,1991.68994,1990.31995,1991.46997
2023-04-11 06:00:00,1991.56006,1991.82996,1990.87,1991.34998
2023-04-11 05:00:00,1990.51001,1992.90002,1990.35999,1991.68005
2023-04-11 04:00:00,1989.03003,1990.92004,1987.73999,1990.44995
2023-04-11 03:00:00,1989.79004,1991.18005,1988.12,1989.04004
2023-04-11 02:00:00,1988.73999,1990.96997,1987.20996,1989.79004
2023-04-11 01:00:00,1987.58997,1990.15002,1987.32996,1988.71997
2023-04-11 00:00:00,1988.08997,1992.04004,1981.73999,1987.68994
2023-04-10 23:00:00,1989.55005,1994.20996,1986.33997,1988.18994
2023-04-10 22:00:00,2001.53003,2001.98999,1989.17004,1989.58997
2023-04-10 21:00:00,2001.92004,2003.04004,2000.03003,2001.60999
2023-04-10 20:00:00,2000.63,2002.84998,1999.93994,2001.93005
2023-04-10 19:00:00,1997.23999,2001.98999,1997.05005,2000.64001
2023-04-10 18:00:00,1997.40002,1999.43994,1995.98999,1997.42004
2023-04-10 17:00:00,1995.95996,1997.69995,1995.13,1997.43005
2023-04-10 16:00:00,1994.26001,1996.43005,1991.81995,1995.98999
2023-04-10 15:00:00,1992.07996,1995.26001,1991.43994,1994.59998
2023-04-10 14:00:00,1991.07996,1993.83997,1989.73999,1992.26001
2023-04-10 13:00:00,1991.23999,1992.92004,1990.48999,1991.01001
2023-04-10 12:00:00,1997.21997,1997.30005,1989.03003,1991.21997
2023-04-10 11:00:00,1998.93005,2000.78003,1995.69995,1997.10999
2023-04-10 10:00:00,2005.64001,2005.88,1997.69995,1998.37
2023-04-10 09:00:00,2005.64001,2006.07996,2004.81995,2005.56006
2023-04-10 08:00:00,1998.26001,2006.62,1996.34998,2005.38
2023-04-07 08:00:00,2008.01001,2008.01001,2008.01001,2008.01001
2023-04-07 06:00:00,2006.96997,2008.15002,2005.84998,2007.40002
2023-04-07 05:00:00,2009.33997,2009.56006,2006.31995,2006.48999
2023-04-07 04:00:00,2010.06995,2011.67004,2008.29004,2009.32996
2023-04-07 03:00:00,2011.92004,2012.58997,2008.73999,2010.06995
2023-04-07 02:00:00,2011.17004,2015.01001,2010.81995,2011.79004
2023-04-07 01:00:00,2011.91003,2013.08997,2009.18994,2011.19995
2023-04-07 00:00:00,2003.39001,2012.12,2001.37,2011.93005
2023-04-06 23:00:00,2013.10999,2014.29004,2000.93994,2003.59998
2023-04-06 22:00:00,2018.63,2020.77002,2011.38,2013.10999
2023-04-06 21:00:00,2020.32996,2020.96997,2017.15002,2018.63
2023-04-06 20:00:00,2019.62,2020.82996,2017.63,2020.33997
2023-04-06 19:00:00,2017.43005,2020.51001,2017.18005,2019.64001
2023-04-06 18:00:00,2016.39001,2019.67004,2014.87,2017.41003
